client,title,platform,priority,email,linkedin,website,budget
FinTechFlow Inc.,Mobile Payment App UI/UX Redesign,Toptal/LinkedIn/AngelList,A级-极高优先,hello@fintechflow.com,https://linkedin.com/company/fintechflow,fintechflow.com,"$1,500-$2,500"
ShopEase Ltd.,E-Commerce UX Overhaul,Toptal/LinkedIn/AngelList,A级-极高优先,support@shopease.com,linkedin.com/company/shopease,shopease.com,"$1,200-$1,800"
EduVate Labs,E-Learning Mobile App UI Design,Toptal/LinkedIn/AngelList,A级-极高优先,contact@eduvatelabs.com,linkedin.com/company/eduvate-labs,eduvatelabs.com,"$2,000-$3,000"
DataStream Solutions,B2B SaaS Website Redesign,Toptal/LinkedIn/AngelList,A级-极高优先,info@datastreamsolutions.com,linkedin.com/company/datastream-solutions,datastreamsolutions.com,"$800-$1,200"
Hologress,Principal UX/UI Designer,Dribbble,B级-高优先,hr@hologress.com,https://www.linkedin.com/company/hologress/,hologress.com,Negotiable
igor.labutod,Figma UI/UX Re-design,99designs,B级-高优先,hello@laer.ai,https://www.linkedin.com/company/laer-ai/,laer.ai,Starts at $349
The Macallan Group,Senior Figma Web Design Expert,Dribbble,C级-中优先,hello@themacallan.com,https://www.linkedin.com/company/the-macallan/,themacallan.com,Negotiable
Lotum,Product Designer (UX/UI),Dribbble,C级-中优先,vonkretschmann@lotum.de,https://www.linkedin.com/company/lotum/,lotum.com,Salary negotiable
Contrast UX,Experienced Product Designer (UI/UX),Dribbble,C级-中优先,apply@contrastux.com,https://www.linkedin.com/company/contrast-ux/,contrastux.com,Freelance day-rate
FilmMarket,Senior UI/UX Designer,Dribbble,C级-中优先,apply@filmmarket.io,https://www.linkedin.com/company/filmmarket/,filmmarket.io,Negotiable (contract)
Sweep,UI/UX Designer (New Grad),Behance,C级-中优先,careers@getsweep.com,https://www.linkedin.com/company/sweep-energy/,getsweep.com,$60-80/hr
Creditgenie,"Staff Product Designer, Mobile",Dribbble,C级-中优先,careers@creditgenie.com,https://www.linkedin.com/company/creditgenie/,creditgenie.com,Negotiable (contract)
DOWN,Mobile UI/UX Designer,Dribbble,C级-中优先,design@downdating.com,https://www.linkedin.com/company/down-dating/,downapp.com,Negotiable
Kare,Senior Website Designer,Dribbble,C级-中优先,careers@karehealth.com,https://www.linkedin.com/company/karehealth/,karehealth.com,Negotiable
eschwarzer,UI/UX Challenge: BoxOfficeHero,99designs,C级-中优先,,,boxofficehero.com,Starts at $599
